,userId,mood,recommendations,feedbacks,number of recs
1,1,Anger,"['BASEketball (1998)', 'Tales from the Crypt Presents: Demon Knight (1995)', ""America's Sweethearts (2001)"", 'Jumanji (1995)', 'Room with a View, A (1986)', 'Cold Mountain (2003)', ""Kiki's Delivery Service (Majo no takkyûbin) (1989)""]","['Like', 'Like', 'Dislike', 'Like', 'Like', 'Like', 'Perfect']",7
2,2,Anger,"[""'burbs, The (1989)"", 'Gone Baby Gone (2007)', 'Princess Diaries, The (2001)', ""Sophie's Choice (1982)""]","['Dislike', 'Like', 'Like', 'Perfect']",4
3,3,Anger,"['When a Man Loves a Woman (1994)', 'Risky Business (1983)', 'Night at the Roxbury, A (1998)', 'Fly Away Home (1996)', 'Mothman Prophecies, The (2002)', '10 Cloverfield Lane (2016)', 'Phantom, The (1996)', 'Professional, The (Le professionnel) (1981)']","['Like', 'Like', 'Dislike', 'Like', 'Like', 'Like', 'Like', 'Perfect']",8
4,4,Joy,"['One Hour Photo (2002)', 'Little Princess, A (1995)', 'Liar Liar (1997)', 'Flashdance (1983)', ""Christmas Vacation (National Lampoon's Christmas Vacation) (1989)"", 'Lincoln Lawyer, The (2011)', 'Downfall (Untergang, Der) (2004)']","['Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",7
5,5,Sadness,['Reservoir Dogs (1992)'],['Perfect'],1
6,6,Fear,"['Gung Ho (1986)', 'Beauty of the Day (Belle de jour) (1967)']","['Like', 'Perfect']",2
7,7,Sadness,"[""Lemony Snicket's A Series of Unfortunate Events (2004)"", '1408 (2007)', ""Big Momma's House (2000)"", 'X-Men: The Last Stand (2006)', 'Bad Boys (1995)', 'Born on the Fourth of July (1989)', 'Election (1999)', 'Moonraker (1979)', 'Tommy Boy (1995)', 'Flintstones in Viva Rock Vegas, The (2000)', 'Flashdance (1983)', 'L.A. Confidential (1997)']","['Like', 'Like', 'Dislike', 'Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Dislike', 'Like', 'Perfect']",12
8,8,Anger,"['Cinderella (1950)', 'xXx (2002)', 'Wonder Boys (2000)', 'Mulan (1998)', 'John Tucker Must Die (2006)', 'Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)', 'Like Water for Chocolate (Como agua para chocolate) (1992)']","['Like', 'Like', 'Like', 'Like', 'Like', 'Like', 'Perfect']",7
9,9,Sadness,"['Willow (1988)', 'Wallace & Gromit: The Best of Aardman Animation (1996)']","['Like', 'Perfect']",2
10,10,Disgust,"['Working Girl (1988)', 'Sabrina (1954)', ""It's a Wonderful Life (1946)""]","['Like', 'Like', 'Perfect']",3
11,11,Joy,"['Hanna (2011)', 'Identity (2003)', ""Kid in King Arthur's Court, A (1995)"", 'Entrapment (1999)', 'Spy Who Loved Me, The (1977)', 'Twins (1988)', 'How to Make an American Quilt (1995)', 'King Kong (1933)', 'For Your Eyes Only (1981)', 'Persuasion (1995)']","['Dislike', 'Like', 'Dislike', 'Like', 'Like', 'Dislike', 'Dislike', 'Like', 'Like', 'Perfect']",10
12,12,Fear,"[""Kiki's Delivery Service (Majo no takkyûbin) (1989)""]",['Perfect'],1
13,13,Joy,"['American Hustle (2013)', 'Muppets, The (2011)', 'Billy Elliot (2000)', 'Dredd (2012)', 'Scent of a Woman (1992)']","['Like', 'Dislike', 'Like', 'Like', 'Perfect']",5
14,14,Anger,"['Purple Rose of Cairo, The (1985)']",['Perfect'],1
15,15,Disgust,['Children of a Lesser God (1986)'],['Perfect'],1
16,16,Joy,"['28 Weeks Later (2007)', 'Broken Flowers (2005)']","['Like', 'Perfect']",2
17,17,Fear,"['Empire Records (1995)', 'Get Shorty (1995)', 'Bee Movie (2007)', 'Waiting for Guffman (1996)']","['Like', 'Like', 'Like', 'Perfect']",4
18,18,Disgust,"['Ip Man (2008)', 'Batman (1989)', 'Angels in the Outfield (1994)', 'Platoon (1986)', 'Dead Again (1991)', 'Drunken Master (Jui kuen) (1978)']","['Like', 'Like', 'Dislike', 'Like', 'Like', 'Perfect']",6
19,19,Joy,"['Barb Wire (1996)', ""Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"", 'Sweeney Todd: The Demon Barber of Fleet Street (2007)', 'Moon (2009)']","['Dislike', 'Dislike', 'Like', 'Perfect']",4
20,20,Sadness,"['Evan Almighty (2007)', 'Parent Trap, The (1961)', 'Adventures of Priscilla, Queen of the Desert, The (1994)', 'Michael Clayton (2007)']","['Dislike', 'Dislike', 'Like', 'Perfect']",4
21,21,Anger,"['Mars Attacks! (1996)', 'Zodiac (2007)']","['Like', 'Perfect']",2
22,22,Joy,"['This Means War (2012)', 'Godfather: Part II, The (1974)']","['Dislike', 'Perfect']",2
