,userId,mood,recommendations,feedbacks,number of recs
1,1,Anger,"['Legend of Zorro, The (2005)', 'Sneakers (1992)', 'Shawshank Redemption, The (1994)']","['Dislike', 'Like', 'Perfect']",3
2,2,Anger,"[""Operation 'Y' & Other Shurik's Adventures (1965)"", 'Sneakers (1992)', 'Shawshank Redemption, The (1994)']","['Like', 'Like', 'Perfect']",3
3,3,Anger,"['Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)', 'Sneakers (1992)', 'Shawshank Redemption, The (1994)']","['Dislike', 'Like', 'Perfect']",3
4,4,Joy,"['Secret of Roan Inish, The (1994)']",['Perfect'],1
5,5,Sadness,"['Identity (2003)', 'Stand by Me (1986)']","['Like', 'Perfect']",2
6,6,Fear,"['Transformers: Age of Extinction (2014)', 'Matrix, The (1999)']","['Dislike', 'Perfect']",2
7,7,Sadness,"['...And Justice for All (1979)', 'Stand by Me (1986)']","['Dislike', 'Perfect']",2
8,8,Anger,['The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles (1981)'],['Perfect'],1
9,9,Sadness,"['Fire in the Sky (1993)', 'Stand by Me (1986)']","['Dislike', 'Perfect']",2
10,10,Disgust,"['Sin City: A Dame to Kill For (2014)', 'Sneakers (1992)', 'Shawshank Redemption, The (1994)']","['Like', 'Like', 'Perfect']",3
11,11,Joy,"[""Gregory's Girl (1981)"", 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Dislike', 'Perfect']",2
12,12,Fear,"['Midnight Meat Train, The (2008)', 'Matrix, The (1999)']","['Like', 'Perfect']",2
13,13,Joy,"['Blind Date (1987)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Dislike', 'Perfect']",2
14,14,Anger,"['Teenage Mutant Ninja Turtles: Out of the Shadows (2016)', 'Sneakers (1992)', 'Shawshank Redemption, The (1994)']","['Dislike', 'Like', 'Perfect']",3
15,15,Disgust,"['Darkman II: Return of Durant, The (1995)', 'Sneakers (1992)', 'Shawshank Redemption, The (1994)']","['Dislike', 'Like', 'Perfect']",3
16,16,Joy,"['All Dogs Go to Heaven 2 (1996)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Like', 'Perfect']",2
